,2016,2015
,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)"
,18+  years,18+  years
Iraq,59.8 [55.4-64.2],59.1 [55.0-63.4]
Ireland,63.6 [59.2-67.7],62.8 [58.7-66.8]
Israel,65.3 [60.8-69.6],64.9 [60.6-69.0]
Italy,64.1 [60.1-68.2],63.6 [59.8-67.4]
Jamaica,55.0 [50.0-59.9],54.2 [49.5-58.9]
Japan,29.4 [26.0-32.8],29.0 [25.9-32.2]
Jordan,66.5 [62.7-70.3],65.6 [62.0-69.3]
Kazakhstan,53.9 [49.2-58.8],53.1 [48.5-57.7]
Kenya,22.6 [18.9-26.4],22.0 [18.5-25.6]
Kiribati,78.0 [73.9-81.9],77.6 [73.5-81.4]
Kuwait,72.1 [68.1-76.0],71.4 [67.6-75.2]
Kyrgyzstan,45.8 [40.3-51.2],44.9 [39.7-50.0]
Laos,22.6 [18.9-26.6],21.7 [18.3-25.5]
Latvia,61.7 [56.3-66.8],61.2 [56.0-66.2]
Lebanon,66.9 [62.5-71.0],66.1 [61.9-70.0]
Lesotho,33.2 [28.9-37.7],32.6 [28.5-36.9]
Liberia,27.8 [24.0-32.1],27.3 [23.6-31.3]
Libya,65.7 [61.1-69.9],64.8 [60.5-68.9]
Lithuania,62.9 [57.8-67.6],62.4 [57.5-66.9]
Luxembourg,61.7 [57.2-66.2],61.3 [57.0-65.6]
Madagascar,21.1 [17.3-25.1],20.5 [17.0-24.4]
Malawi,20.1 [16.6-23.8],19.6 [16.3-23.1]
Malaysia,41.7 [37.3-46.2],40.6 [36.5-44.8]
Maldives,28.5 [24.4-33.2],27.4 [23.5-31.8]
Mali,24.4 [20.6-28.5],23.8 [20.2-27.6]
Malta,70.0 [65.3-74.3],69.6 [65.1-73.7]
Marshall Islands,82.7 [79.1-86.0],82.3 [78.8-85.6]
Mauritania,31.5 [26.9-36.4],30.8 [26.4-35.5]
Mauritius,33.8 [29.0-38.9],33.3 [28.8-38.0]
Mexico,64.1 [60.3-67.8],63.5 [59.9-67.0]
Micronesia (Federated States of),70.1 [65.3-74.6],69.4 [64.8-73.9]
Monaco,No data,No data
Mongolia,53.9 [49.0-58.7],52.7 [48.0-57.4]
Montenegro,62.3 [57.3-67.1],61.8 [56.9-66.4]
Morocco,59.5 [54.6-64.1],58.5 [53.9-62.9]
Mozambique,23.1 [19.4-27.0],22.6 [19.2-26.4]
Myanmar,24.6 [20.8-28.6],23.8 [20.2-27.5]
Namibia,36.6 [32.0-41.4],35.7 [31.4-40.3]
Nauru,87.9 [85.0-90.5],87.7 [84.9-90.3]
Nepal,19.6 [16.3-23.3],19.1 [15.9-22.5]
Netherlands,62.6 [58.6-66.4],62.1 [58.3-65.7]
New Zealand,68.0 [64.7-71.1],67.5 [64.4-70.5]
Nicaragua,54.8 [50.0-59.5],54.0 [49.4-58.6]
Niger,19.7 [16.1-23.7],19.3 [15.9-23.1]
Nigeria,26.0 [22.5-29.9],25.4 [22.1-29.0]
Niue,79.1 [75.0-82.8],78.5 [74.5-82.2]
Norway,61.7 [57.6-65.6],61.2 [57.3-65.0]
Oman,56.0 [50.9-61.3],54.6 [49.8-59.6]
Pakistan,26.2 [22.1-30.7],25.4 [21.6-29.7]
Palau,84.4 [80.9-87.5],84.0 [80.6-87.1]
Panama,58.5 [53.6-63.1],57.8 [53.1-62.2]
Papua New Guinea,49.3 [43.1-55.6],48.6 [42.6-54.7]
Paraguay,50.9 [45.2-56.5],50.2 [44.6-55.5]
Peru,56.3 [52.0-60.4],55.6 [51.5-59.5]
Philippines,26.1 [22.2-30.3],25.4 [21.8-29.4]
Poland,62.4 [58.4-66.4],61.7 [58.0-65.5]
Portugal,62.3 [57.6-66.8],61.6 [57.2-65.9]
Qatar,70.3 [65.2-75.3],69.3 [64.4-74.1]
South Korea,32.1 [29.0-35.4],31.7 [28.7-34.7]
Moldova,54.1 [48.7-59.8],53.4 [48.2-58.8]
Romania,61.4 [56.9-65.8],60.7 [56.4-64.9]
Russia,61.1 [56.5-65.6],60.5 [56.1-64.7]
Rwanda,22.0 [18.4-25.8],21.4 [18.1-24.9]
Saint Kitts and Nevis,52.7 [47.1-58.5],51.9 [46.5-57.5]
Saint Lucia,48.3 [42.5-54.4],47.5 [41.9-53.3]
