,"Estimated number of road traffic deaths","Estimated road traffic death rate (per 100 000 population)","Estimated road traffic death rate (per 100 000 population)"
"Portugal","828","7.4","7.8"
"Qatar","330","9.3","15.2"
"Republic of Korea","5 931","9.8","12.0"
"Republic of Moldova","437","9.7","12.5"
"Romania","1 881","10.3","8.7"
"Russian Federation","27 025","18.0","18.9"
"Rwanda","3 782 [3 022 - 4 541]","29.7","32.1"
"Saint Lucia","33","35.4","18.1"
"Saint Vincent and the Grenadines","9","","8.2"
"Samoa","30 [27 - 33]","11.3","15.8"
"San Marino","1","0.0","3.2"
"Sao Tome and Principe","60 [47 - 73]","27.5","31.1"
"Saudi Arabia","7 898 [7 002 - 8 795]","28.8","27.4"
"Senegal","3 844 [3 214 - 4 474]","23.4","27.2"
"Serbia","735","7.4","7.7"
"Seychelles","8","15.9","8.6"
"Sierra Leone","1 661 [1 334 - 1 988]","","27.3"
"Singapore","197","2.8","3.6"
"Slovakia","360","6.1","6.6"
"Slovenia","132","6.4","6.4"
"Solomon Islands","108 [96 - 120]","17.4","19.2"
"Somalia","2 664 [2 092 - 3 237]","27.1","25.4"
"South Africa","13 273","25.9","25.1"
"South Sudan","","29.9","27.9"
"Spain","1 730","4.1","3.7"
"Sri Lanka","3 691 [3 245 - 4 137]","14.9","17.4"
"Sudan","9 221 [7 746 - 10 697]","25.7","24.3"
"Suriname","103","14.5","19.1"
"Sweden","272","2.8","2.8"
"Switzerland","269","2.7","3.3"
"Syrian Arab Republic","","26.5","20.0"
"Tajikistan","1 543 [1 387 - 1 699]","18.1","18.8"
"Thailand","24 237","32.7","36.2"
"Republic of North Macedonia","198","6.4","9.4"
"Timor-Leste","188 [158 - 219]","12.7","16.6"
"Togo","2 123 [1 719 - 2 526]","29.2","31.1"
"Tonga","8","16.8","7.6"
"Trinidad and Tobago","189","12.1","14.1"
"Tunisia","2 679 [2 346 - 3 012]","22.8","24.4"
"Turkey","6 687","12.3","8.9"
"Turkmenistan","914 [844 - 983]","14.5","17.4"
"Uganda","10 280 [7 820 - 12 739]","29.0","27.4"
"Ukraine","","13.7","10.6"
"United Arab Emirates","1 021 [845 - 1 198]","18.1","10.9"
"United Kingdom of Great Britain and Northern Ireland","1 827","3.1","2.9"
"United Republic of Tanzania","16 211 [13 116 - 19 307]","29.2","32.9"
"United States of America","34 064","12.4","10.6"
"Uruguay","567","13.4","16.6"
"Uzbekistan","3 240","11.5","11.2"
"Vanuatu","42 [37 - 47]","15.9","16.6"
"Venezuela (Bolivarian Republic of)","","33.7","45.1"
"Viet Nam","22 419","26.4","24.5"
"Yemen","5 248 [4 426 - 6 069]","","21.5"
"Zambia","3 586 [2 914 - 4 257]","","24.7"
"Zimbabwe","3 985 [3 319 - 4 652]","34.7","28.2"
